Shot,Lineage,X,Y,Z,SOX2,POU5F1,TFAP2C,TFAP2A,VTCN1,T,MIXL1,OTX2
240_O,EmDisc_CS6,77.3467963,168.336118,-66.0099557,0,1.89789319,0.009165375,0,0.018247508,3.18399717,1.91567491,0
240_S,EmDisc_CS6,68.0743059,-71.7123131,-52.6925363,0.028495975,2.35918239,0,0,0.056202377,0.61665653,1.64141034,0.014349487
240_W,EmDisc_CS6,-70.3361908,-117.429664,-80.6481828,0.146145082,2.03143601,0,0.015613875,0.015613875,0.046128746,0.075739967,0
240_AA,EmDisc_CS6,-160.43352,-231.395271,-48.9725226,1.13532405,2.76352775,0.068038075,0.124859476,0.023197532,0.103927978,0.068038075,0.060702894
240_AC,EmDisc_CS6,-141.726855,-204.559508,-79.5640746,0.376066725,0.622817616,0.016173653,0,0.008119524,0.008119524,2.44168305,0
243_S,EmDisc_CS6,83.0989641,152.132397,-17.8502023,0.758693323,2.50830969,0.02616407,0.004408494,0.004408494,2.53946998,1.72423149,0
243_U,EmDisc_CS6,73.1385959,93.4391296,-19.0200894,0.641043927,2.12985979,0.053654836,0,0,0.221575582,0.776597974,0
243_W,EmDisc_CS6,34.8847539,30.6147005,-12.9538716,1.57631023,1.34842212,0.003302365,0,0,0.778216524,0.016403835,0.100614585
243_Y,EmDisc_CS6,-44.9004533,-29.9475647,-16.740966,0.875359902,2.42498657,0,0,0,0.617259527,0,0.013900329
243_AA,EmDisc_CS6,-104.874579,-94.9372433,-32.965004,1.55776987,2.1559742,1.3775084,0,0.054434762,1.04596311,0,0
243_AS,EmDisc_CS6,-40.6212358,-168.2174,-13.9489448,2.63764018,2.55160606,0.008377111,0.321034655,0,0,0,0.008377111
246_O,EmDisc_CS6,-97.4767524,-289.022396,18.8460524,1.17159907,2.76861979,0,0.018238846,0,0,0,0
246_AU,EmDisc_CS6,-173.327655,-237.247517,37.4254462,1.76736471,2.12725581,0.240399875,0,0,0.37979709,0.247497514,0.942790666
246_AW,EmDisc_CS6,-104.223862,-37.9495974,22.2275637,1.48594854,2.13686767,0.006141741,0.006141741,0.006141741,0.059783232,0.02434383,0.143248031
246_AY,EmDisc_CS6,65.7142508,-11.1660043,39.1986709,1.18285574,2.90064649,0,0.0039223,0,1.69394489,0.84515585,0.011721045
249_G,EmDisc_CS6,189.937899,186.92468,78.0170553,0,3.05166755,0.644489536,0.75577717,0.419094123,2.05715093,1.23626703,0
249_Q,EmDisc_CS6,140.308666,110.688326,82.4185927,1.17811497,2.59083542,0.047718066,0.275877812,0,1.18561009,0,0
249_Y,EmDisc_CS6,-34.8843008,-37.8672697,71.0576548,1.33156248,2.59655509,0.221325424,0,0,0.402433056,0,0.500950841
249_AG,EmDisc_CS6,-62.3342352,-116.999224,89.0749611,1.22622911,2.30923689,0.046141519,0.068437694,0,0.47864979,0.046141519,0.535521576
252_M,EmDisc_CS6,-101.398089,-102.531001,125.164513,0.397618749,1.44160445,0.520103614,0,0,0.946099629,0.010335269,0.017166578
252_O,EmDisc_CS6,-20.0608997,-59.7824444,123.414989,1.23257972,2.2795765,0.50447632,0,0.016070618,0.316714206,0.031887051,0.304841347
252_Q,EmDisc_CS6,-40.6337357,61.7386426,123.582801,1.01312578,2.48955718,0.008955658,0,0.017831824,0.110598568,0.008955658,0
252_S,EmDisc_CS6,85.4064088,116.162138,151.101743,1.13552974,2.43770423,0.038380298,0,0.087364864,0.012957796,0,0.411210144
252_AQ,EmDisc_CS6,192.758711,128.118441,125.78211,1.10028536,2.92986657,0.006021064,0.017955512,0.023869746,0,0,0
255_R,EmDisc_CS6,39.0548198,8.17201261,167.687384,1.39776403,2.57942785,0.23584094,0.009986681,0.005005807,0.199512701,0.019874614,0.211769338
255_T,EmDisc_CS6,75.2625441,124.322041,163.584193,1.08499756,2.48776281,0.762763825,0.014201113,0.007125765,0.021226752,0.014201113,0.975287827
255_V,EmDisc_CS6,167.839231,184.766575,177.316639,0.606198664,2.73123282,0.070710254,0.044776289,0,0.298646844,0.395694267,0.009117088
255_X,EmDisc_CS6,228.112612,208.41291,165.507133,0.013076156,1.45127861,1.13472269,1.96048781,0,2.36328742,1.51015268,0
237_T,EmDisc_CS6,-66.5869112,-140.007475,-113.377618,1.38196138,2.77046688,0.075884566,0,0,0,1.72021792,0
237_V,EmDisc_CS6,-37.164653,-90.9282204,-112.245228,1.04609647,1.40130407,0.00636901,0.012697713,0.00636901,2.41567976,0.988345146,0.478329003
240_Q,EmDisc_CS6_PGC,52.763217,94.1249399,-48.7056369,0.361106008,3.34749393,0.039964027,0,0.013499581,2.47806604,2.16507103,0
234_O,EmDisc_CS6,46.1904447,47.8975263,-163.222751,0,2.03893765,1.6362579,0.108096046,0,1.75993537,0,0
237_X,EmDisc_CS6,-1.63402619,-31.204949,-113.730952,0.003631825,1.35953171,1.87869585,1.91123738,0,0.71768679,0.559339229,0
234_N,EmDisc_CS6,1.45341768,-32.5384946,-168.95495,0,1.74128653,0.106980247,1.28009522,0,0,0,0
234_P,EmDisc_CS6,68.1028009,89.3625368,-156.225016,0,1.0339858,0.616400315,0.009748291,0.47458656,0.851025125,0.009748291,0
240_B,EmDisc_CS6,20.1725361,15.744448,-59.9518305,1.20456414,2.42981842,1.15880417,0.011410354,0.06120455,0.915321828,1.35741604,0
240_P,EmDisc_CS6,57.4694125,131.466202,-51.9544931,0,2.52200819,0.00755653,0.080138101,0.00755653,3.36246578,1.82387643,0
240_R,EmDisc_CS6,41.2073182,56.0552874,-49.0482933,0.563819066,2.75601086,0.005764811,0,0,2.81104505,1.78029148,0.005764811
240_T,EmDisc_CS6,30.1851207,-119.513882,-46.8269878,0.886683386,2.57880028,0.015645658,0,0.023377639,0.015645658,0.015645658,0.653610034
240_AB,EmDisc_CS6,-153.654159,-231.99666,-59.9730142,0,2.58428013,0.011450865,0,0.03396658,0,0.011450865,0
243_R,EmDisc_CS6,95.2409423,188.954917,-18.3060534,0.81150206,2.67484418,0.025089454,0.006331624,0.043501897,3.06820745,2.70460138,0.006331624
243_T,EmDisc_CS6,79.4323714,121.695548,-16.214119,0.639112451,2.62057771,0.712518701,0,0.007190205,0.950709766,1.6190399,0
243_V,EmDisc_CS6,56.3532591,58.0389915,-20.7565272,1.2155685,2.75610015,0.028320223,0.002390894,0,0.053594179,0.018968981,0
243_X,EmDisc_CS6,1.39180036,0.836366119,-14.2114009,1.47285228,0.83653507,0.376369352,0.012442413,0.006240558,3.03015511,0.006240558,0
243_Z,EmDisc_CS6,-78.5538665,-57.0096467,-18.8007524,1.49133809,2.43706226,0.024210154,0,0,0,0,0
243_AB,EmDisc_CS6,-77.2052879,-167.482463,15.0772274,1.77540493,2.16197491,0.10564238,0,0,0.201183116,0.201183116,0
243_AR,EmDisc_CS6,-6.61621564,-119.464552,-25.361185,1.1433745,2.96832875,0,0.006002617,0.006002617,0.017900827,0.006002617,0.124387593
246_AP,EmDisc_CS6,104.376513,185.116289,15.3215886,0.355860542,3.22272201,1.74902297,0.22828637,0.018817762,2.28672055,1.92158103,0.009453144
246_AV,EmDisc_CS6,-194.144472,-117.908774,31.0748682,1.28769262,2.46549839,0.005764004,0,0,0.169726506,0.017193287,0.088459825
246_AX,EmDisc_CS6,-3.93368542,-23.5932098,39.592734,1.43987934,2.15575132,0.281892983,0,0,0.052851248,0.017929242,0
246_AZ,EmDisc_CS6,132.047251,28.6400928,25.9712932,0.699488791,2.21881237,0,0,0,2.05793076,0.990486787,0
249_H,EmDisc_CS6,199.845092,215.167564,88.3334216,0,2.98496996,2.12841345,0.026511247,0.006693994,1.75360669,1.4470981,0
249_P,EmDisc_CS6,160.265808,125.926041,79.275658,1.87581836,1.57045569,0.019848235,0,0.019848235,1.10459982,2.08812124,0
249_R,EmDisc_CS6,116.057464,100.794865,85.4259383,1.03209527,2.57887347,0.209574852,0,0,0.355888518,0,0.127518875
249_Z,EmDisc_CS6,-116.984487,-44.7975463,88.2556266,0.808293451,2.53525602,0.024576998,0,0,0.335117054,0,0.830226439
252_N,EmDisc_CS6,-34.087351,-97.4248182,111.36255,2.22753468,2.68535916,0.521229995,0,0,0,0,0.018320284
252_P,EmDisc_CS6,-69.1343261,19.5567065,131.818505,1.22382041,2.54986722,0.054315358,0,0.013857912,0.105831923,0.013857912,0.027526404
252_R,EmDisc_CS6,6.7290398,83.7621097,127.990663,1.04191443,2.58810724,0.046909528,0,0,0,0.02840893,0.436647145
252_T,EmDisc_CS6,133.409257,128.681723,129.239122,1.14171358,2.03896468,0.019549608,0,0.048175578,0.066814213,0.111945334,0.009822577
252_AR,EmDisc_CS6,215.659368,158.011968,127.164572,1.46166034,2.49206364,0.800426187,0,0.046678708,0.201305315,2.07851408,0.046678708
255_S,EmDisc_CS6,77.0386086,45.3343703,170.229848,1.10817232,2.6392969,0.015644989,0.00524224,0,0.332321,0.015644989,0.418936898
255_U,EmDisc_CS6,125.736309,149.477272,184.266939,1.5200516,2.42926437,0.386397596,0.008696698,0,0.059346032,0.415641686,0.668892393
255_W,EmDisc_CS6,204.920367,209.334423,178.498504,1.39028839,2.84947511,0.176750944,0.037937939,0,1.58241136,0.505210943,0.037937939
255_AQ,EmDisc_CS6,24.6280485,-57.3501404,173.883169,1.38674505,2.8178463,0.060496926,0,0.012395721,0.293359684,0.29645545,0
237_G,EmDisc_CS6,28.7695557,65.6068114,-112.560054,0.0154474,1.43177265,1.8319716,0.667627815,0.533986644,1.64627332,0.005175692,0
237_S,EmDisc_CS6,-75.7399003,-164.989269,-117.928567,0.120732974,2.70394819,0.043298456,0.423022849,0.039052006,0.008810971,0.051737638,0
237_U,EmDisc_CS6,-50.0079122,-114.367237,-112.582562,0.007547521,0.915305256,0.010050755,0.005038005,0.005038005,0.762667343,2.15455562,0
237_Y,EmDisc_CS6,18.1575376,7.46715859,-112.3764,0,2.16604779,1.18691998,0,0,2.23355537,1.09922098,0
240_AK,PGC_CS6,117.969284,182.003448,-55.787773,0,2.79983777,0.002561829,0,0,2.51515939,2.47625258,0
243_O,PGC_CS6,18.979815,245.172272,-21.274969,0.103469704,1.55880421,2.18905169,0,0.030671136,1.86899147,0.06042948,0
243_Q,PGC_CS6,74.3760093,228.166165,-17.688969,0.025765076,2.10695183,0.959988577,0.006503771,0,2.93316821,2.48445388,0.006503771
246_AK,PGC_CS6,180.083821,183.364521,30.0850585,0,1.99746795,0.686149976,0,0.004575815,1.09848784,1.31978249,0
246_AM,PGC_CS6,131.239548,186.750458,22.949739,0.004430644,2.57568042,0.823673746,0.068637215,0,1.96151515,2.73006274,0
237_D,PGC_CS6,59.688396,177.190918,-61.465961,0,2.3328534,1.75693941,1.06870361,0.045935253,1.89793944,1.17092673,0
237_F,PGC_CS6,67.398209,169.917526,-59.504349,0,2.15514563,2.46439181,0.341547792,1.38268155,0.111547556,1.22938954,0
240_N,PGC_CS6,44.6547848,191.345859,-54.2138563,0,2.95352815,2.41792811,0,0,0.661947836,0.02363105,0
240_AJ,PGC_CS6,114.092421,177.354258,-49.315709,0,2.09459786,2.15498271,0,0,1.52239866,3.4630892,0
243_P,PGC_CS6,45.5885953,241.667924,-17.6611424,0.011729803,2.32269319,2.1081147,0,0,1.9895707,0.507261212,0
246_AN,PGC_CS6,145.170042,197.773165,27.9124856,0,2.28237646,2.09032981,0,0,2.20355597,1.98078246,0
246_AR,PGC_CS6,51.9398552,231.264632,-6.18191974,0,2.81046719,1.91393073,0.295044295,0.365503129,0.770244801,0.962363367,0
237_AA,PGC_CS6,71.254982,170.147186,-62.810699,0,1.47860366,0.010594049,0.227620513,0.021077039,3.35286266,1.15457488,0
237_AC,PGC_CS6,88.444939,180.109818,-81.477737,0,0.133545542,2.87942876,0.325453844,0.021742421,1.91572548,0.021742421,0.010930301
240_AO,SYS_CS6,173.955802,-66.5501179,-71.6953212,0,1.49554625,0.013616861,0,0,0.908532391,0.046869248,0
243_AM,SYS_CS6,238.413839,86.6597952,-33.4143696,0.028151604,0.041935686,0.028151604,0.041935686,0.055532348,0,0,0
243_AO,SYS_CS6,166.438576,-17.2035458,-54.552263,0.032468276,1.57673506,0.043060923,0,0,0.021762224,0.01094031,0
246_Q,SYS_CS6,36.0448728,-284.33295,28.8267054,0,0,0,0,0,0,0,0
246_U,SYS_CS6,223.681166,-73.1495006,30.4866578,0,0.008730729,0,0,0,0,0,0
252_AC,SYS_CS6,190.432463,-169.35001,124.01311,0,0.078998505,0.010222906,0,0.02034236,0.010222906,0.02034236,0
252_AE,SYS_CS6,284.908173,-128.71048,135.044495,0.065329518,1.26748426,0.013411805,0.013411805,0.013411805,0.013411805,0.013411805,0
252_AK,SYS_CS6,315.19041,104.312541,127.310902,0.209164697,0.083120535,0.009082084,0,0,1.62764469,0,0.004551352
255_AH,SYS_CS6,344.088804,119.126446,171.490109,0,0.042304205,0.021375791,0,0,0,0,0
255_AN,SYS_CS6,378.170712,26.9540803,172.537907,0.011187664,0.022251547,0.126637721,0.011187664,0,0.011187664,0.011187664,0
255_AP,SYS_CS6,211.605157,-68.0765536,204.952804,0.010105128,0.115002538,0.132946596,0.159273028,0.049534445,0.010105128,0.049534445,0
258_D,SYS_CS6,305.932898,37.4412718,203.912513,0,0,0.008470349,0,0,0,0,0
240_AN,SYS_CS6,216.739995,-31.1213506,-70.7940902,0,0.08382579,0,0,0,0.042790983,0.032263673,0
243_AN,SYS_CS6,186.20682,28.6069489,-56.6665317,0.021486981,0.083309324,0.021486981,0.042521967,0.021486981,0.042521967,0,0
243_AT,SYS_CS6,115.56755,-117.819423,-59.8371789,0.078663071,0.133848471,0.059569777,0.597955661,0.020253447,0,0,0
246_T,SYS_CS6,167.597885,-144.69746,29.9954334,0,0,0,0,0,0,0,0
246_V,SYS_CS6,242.477185,-14.2668395,30.491346,0,0,0,0,0,0,0,0
246_AH,SYS_CS6,228.733933,108.702675,23.6642393,0.005940087,2.1664469,0.287908144,0,0,0.011845098,1.14195258,0
249_AF,SYS_CS6,109.503257,-71.5139637,159.079357,0,0.101112009,0.007068331,0.007068331,0,0,0,0
252_AB,SYS_CS6,86.7299136,-170.751162,117.733117,0,0.031688765,0,0.010674887,0.010674887,0.010674887,0,0
252_AF,SYS_CS6,324.653059,-94.4311395,135.126263,0.021281519,0.102148499,0.021281519,0.021281519,0.102148499,0,0,0
255_AO,SYS_CS6,278.2347,-53.7295523,202.562404,0.009139921,0.062291676,0.104523794,0,0,0.01819706,0,0
258_C,SYS_CS6,276.995313,-117.644843,189.546775,0,0,0.004783666,0,0,0,0,0
240_AG,VE_CS6,137.763275,-26.809523,-72.6664962,0.008652983,2.33203375,0.017231734,0,0,0,1.41582883,0
240_AI,VE_CS6,137.258974,105.740276,-65.3284408,0,1.59899785,0.074562947,1.15296427,0.037976267,0.109858155,3.21180692,0.019168397
243_AC,VE_CS6,60.1362099,-49.2406719,-14.7195525,0.477446343,2.0191514,0.013215609,0,0,0.039134136,0.051845762,1.69926324
243_AE,VE_CS6,102.865281,-9.68181503,-16.9044805,0.537196789,1.66599335,0,0,0,0.046323841,0,0.878215803
243_AG,VE_CS6,141.227675,54.1675693,-17.4799691,0.878064213,1.71573648,0.369198927,0,0.0188249,0,0.009456747,0.342574243
243_AI,VE_CS6,151.771011,139.772186,-9.60277,0.043410206,1.81587966,0.02194064,0,0,1.42843968,0,0.095150146
246_W,VE_CS6,169.057495,54.5317275,36.3452161,0,0.535078744,0,0,0,0,0.853005677,0
246_BA,VE_CS6,-10.9833069,-135.701513,3.68134233,0.233089042,1.4278234,1.07924419,0,0.006540909,0.013039312,0.006540909,1.81668662
252_U,VE_CS6,29.412722,2.86850469,125.186044,0.029584587,0.977937836,1.36227559,0,0,0,0,2.09848746
252_W,VE_CS6,143.103756,65.4070154,121.726941,0.040926888,1.85948475,0,0.040926888,0.050902143,0.010389823,0.050902143,1.12099618
252_Y,VE_CS6,250.468659,101.079289,132.637245,1.40534256,1.38011895,0.020106232,0.010103648,0,0.123997642,0.039816158,0
252_AO,VE_CS6,38.962746,16.045523,123.671623,0.008636117,1.44548146,0.008636117,0,0.01719829,0.008636117,0.042453539,0.642929964
255_AF,VE_CS6,264.535431,161.436523,169.415329,0.009584594,0.117959689,0,0,0.019078195,0.828774598,0,0.009584594
237_AN,VE_CS6,10.2224616,-139.971674,-114.397847,0,1.61203555,0.006677166,0,0,0.006677166,0,0
237_AP,VE_CS6,73.597945,-16.2972482,-110.57065,0,1.95459719,0.010670433,0,0,0,0.045437994,0
240_AD,VE_CS6,97.5010906,-124.473734,-64.9994699,0,0.049911472,0.016915468,0,0.0084935,0.025267098,0.049911472,0.112806594
240_AH,VE_CS6,120.034052,25.0602035,-61.4813257,0,1.92909934,0.039400053,0.296843099,0.023825815,0.409689689,2.20225007,0.699477378
